"Date(UTC)","UnixTimeStamp","Value (Wei)"
"9/24/2020","1600905600","470000000000"
"9/25/2020","1600992000","470000000000"
"9/26/2020","1601078400","0"
"9/27/2020","1601164800","470000000000"
"9/28/2020","1601251200","470000000000"
"9/29/2020","1601337600","470000000000"
"9/30/2020","1601424000","470000000000"
"10/1/2020","1601510400","481415929204"
"10/2/2020","1601596800","470000000000"
"10/3/2020","1601683200","470000000000"
"10/4/2020","1601769600","470000000000"
"10/5/2020","1601856000","0"
"10/6/2020","1601942400","470000000000"
"10/7/2020","1602028800","470000000000"
"10/8/2020","1602115200","471666666667"
"10/9/2020","1602201600","0"
"10/10/2020","1602288000","0"
"10/11/2020","1602374400","470000000000"
"10/12/2020","1602460800","470000000000"
"10/13/2020","1602547200","473000000000"
"10/14/2020","1602633600","470000000000"
"10/15/2020","1602720000","470000000000"
"10/16/2020","1602806400","470000000000"
"10/17/2020","1602892800","470000000000"
"10/18/2020","1602979200","470000000000"
"10/19/2020","1603065600","470000000000"
"10/20/2020","1603152000","470000000000"
"10/21/2020","1603238400","470000000000"
"10/22/2020","1603324800","470000000000"
"10/23/2020","1603411200","470000000000"
"10/24/2020","1603497600","0"
"10/25/2020","1603584000","0"
"10/26/2020","1603670400","0"
"10/27/2020","1603756800","470000000000"
"10/28/2020","1603843200","470000000000"
"10/29/2020","1603929600","849357142857"
"10/30/2020","1604016000","485666666667"
"10/31/2020","1604102400","0"
"11/1/2020","1604188800","470000000000"
"11/2/2020","1604275200","475200000000"
"11/3/2020","1604361600","483000000000"
"11/4/2020","1604448000","470000000000"
"11/5/2020","1604534400","470000000000"
"11/6/2020","1604620800","470000000000"
"11/7/2020","1604707200","0"
"11/8/2020","1604793600","470000000000"
"11/9/2020","1604880000","470000000000"
"11/10/2020","1604966400","470000000000"
"11/11/2020","1605052800","473000000000"
"11/12/2020","1605139200","470000000000"
"11/13/2020","1605225600","472400000000"
"11/14/2020","1605312000","470000000000"
"11/15/2020","1605398400","0"
"11/16/2020","1605484800","470000000000"
"11/17/2020","1605571200","470000000000"
"11/18/2020","1605657600","470500000000"
"11/19/2020","1605744000","470000000000"
"11/20/2020","1605830400","482000000000"
"11/21/2020","1605916800","0"
"11/22/2020","1606003200","0"
"11/23/2020","1606089600","470000000000"
"11/24/2020","1606176000","0"
"11/25/2020","1606262400","0"
"11/26/2020","1606348800","470000000000"
"11/27/2020","1606435200","0"
"11/28/2020","1606521600","470000000000"
"11/29/2020","1606608000","470000000000"
"11/30/2020","1606694400","0"
"12/1/2020","1606780800","0"
"12/2/2020","1606867200","0"
"12/3/2020","1606953600","0"
"12/4/2020","1607040000","0"
"12/5/2020","1607126400","470000000000"
"12/6/2020","1607212800","471764705882"
"12/7/2020","1607299200","470000000000"
"12/8/2020","1607385600","470000000000"
"12/9/2020","1607472000","470000000000"
"12/10/2020","1607558400","470000000000"
"12/11/2020","1607644800","470000000000"
"12/12/2020","1607731200","0"
"12/13/2020","1607817600","470000000000"
"12/14/2020","1607904000","470000000000"
"12/15/2020","1607990400","0"
"12/16/2020","1608076800","470000000000"
"12/17/2020","1608163200","470000000000"
"12/18/2020","1608249600","470000000000"
"12/19/2020","1608336000","470000000000"
"12/20/2020","1608422400","470000000000"
"12/21/2020","1608508800","470000000000"
"12/22/2020","1608595200","470092521203"
"12/23/2020","1608681600","470000000000"
"12/24/2020","1608768000","485000000000"
"12/25/2020","1608854400","0"
"12/26/2020","1608940800","0"
"12/27/2020","1609027200","470000000000"
"12/28/2020","1609113600","470200364299"
"12/29/2020","1609200000","470000000000"
"12/30/2020","1609286400","470000000000"
"12/31/2020","1609372800","470000000000"
"1/1/2021","1609459200","470021668472"
"1/2/2021","1609545600","470000000000"
"1/3/2021","1609632000","470000000000"
"1/4/2021","1609718400","470000000000"
"1/5/2021","1609804800","470000000000"
"1/6/2021","1609891200","470000000000"
"1/7/2021","1609977600","470750000000"
"1/8/2021","1610064000","470084053234"
"1/9/2021","1610150400","470000000000"
"1/10/2021","1610236800","470000000000"
"1/11/2021","1610323200","470000000000"
"1/12/2021","1610409600","470770491803"
"1/13/2021","1610496000","470000000000"
"1/14/2021","1610582400","470000000000"
"1/15/2021","1610668800","470000000000"
"1/16/2021","1610755200","470000000000"
"1/17/2021","1610841600","478133333333"
"1/18/2021","1610928000","470000000000"
"1/19/2021","1611014400","470000000000"
"1/20/2021","1611100800","470000000000"
"1/21/2021","1611187200","473750000000"
"1/22/2021","1611273600","472156250000"
"1/23/2021","1611360000","473333333333"
"1/24/2021","1611446400","470833333333"
"1/25/2021","1611532800","490581429980"
"1/26/2021","1611619200","470000000000"
"1/27/2021","1611705600","470081300813"
"1/28/2021","1611792000","475682539683"
"1/29/2021","1611878400","470029658646"
"1/30/2021","1611964800","511969696970"
"1/31/2021","1612051200","526004545455"
"2/1/2021","1612137600","490824175824"
"2/2/2021","1612224000","525894308943"
"2/3/2021","1612310400","507094303375"
"2/4/2021","1612396800","489446990424"
"2/5/2021","1612483200","490947683580"
"2/6/2021","1612569600","490826359833"
"2/7/2021","1612656000","487725743626"
