"Date(UTC)","UnixTimeStamp","Value"
"9/24/2020","1600905600","2"
"9/25/2020","1600992000","10"
"9/26/2020","1601078400","10"
"9/27/2020","1601164800","2"
"9/28/2020","1601251200","1"
"9/29/2020","1601337600","17"
"9/30/2020","1601424000","36"
"10/1/2020","1601510400","117"
"10/2/2020","1601596800","10"
"10/3/2020","1601683200","1"
"10/4/2020","1601769600","8"
"10/5/2020","1601856000","1"
"10/6/2020","1601942400","4"
"10/7/2020","1602028800","26"
"10/8/2020","1602115200","23"
"10/9/2020","1602201600","23"
"10/10/2020","1602288000","23"
"10/11/2020","1602374400","3"
"10/12/2020","1602460800","3"
"10/13/2020","1602547200","24"
"10/14/2020","1602633600","11"
"10/15/2020","1602720000","10"
"10/16/2020","1602806400","10"
"10/17/2020","1602892800","31"
"10/18/2020","1602979200","2"
"10/19/2020","1603065600","13"
"10/20/2020","1603152000","11"
"10/21/2020","1603238400","7"
"10/22/2020","1603324800","2"
"10/23/2020","1603411200","16"
"10/24/2020","1603497600","16"
"10/25/2020","1603584000","16"
"10/26/2020","1603670400","16"
"10/27/2020","1603756800","8"
"10/28/2020","1603843200","12"
"10/29/2020","1603929600","13"
"10/30/2020","1604016000","3"
"10/31/2020","1604102400","3"
"11/1/2020","1604188800","3"
"11/2/2020","1604275200","27"
"11/3/2020","1604361600","12"
"11/4/2020","1604448000","2"
"11/5/2020","1604534400","6"
"11/6/2020","1604620800","3"
"11/7/2020","1604707200","3"
"11/8/2020","1604793600","3"
"11/9/2020","1604880000","12"
"11/10/2020","1604966400","23"
"11/11/2020","1605052800","11"
"11/12/2020","1605139200","20"
"11/13/2020","1605225600","27"
"11/14/2020","1605312000","5"
"11/15/2020","1605398400","5"
"11/16/2020","1605484800","5"
"11/17/2020","1605571200","7"
"11/18/2020","1605657600","2"
"11/19/2020","1605744000","3"
"11/20/2020","1605830400","5"
"11/21/2020","1605916800","5"
"11/22/2020","1606003200","5"
"11/23/2020","1606089600","2"
"11/24/2020","1606176000","2"
"11/25/2020","1606262400","2"
"11/26/2020","1606348800","9"
"11/27/2020","1606435200","9"
"11/28/2020","1606521600","62"
"11/29/2020","1606608000","4"
"11/30/2020","1606694400","4"
"12/1/2020","1606780800","1"
"12/2/2020","1606867200","1"
"12/3/2020","1606953600","1"
"12/4/2020","1607040000","1"
"12/5/2020","1607126400","3"
"12/6/2020","1607212800","18"
"12/7/2020","1607299200","40"
"12/8/2020","1607385600","11"
"12/9/2020","1607472000","45"
"12/10/2020","1607558400","4"
"12/11/2020","1607644800","2"
"12/12/2020","1607731200","2"
"12/13/2020","1607817600","3"
"12/14/2020","1607904000","2"
"12/15/2020","1607990400","2"
"12/16/2020","1608076800","26"
"12/17/2020","1608163200","1"
"12/18/2020","1608249600","52"
"12/19/2020","1608336000","179"
"12/20/2020","1608422400","3850"
"12/21/2020","1608508800","4300"
"12/22/2020","1608595200","1305"
"12/23/2020","1608681600","5"
"12/24/2020","1608768000","4"
"12/25/2020","1608854400","4"
"12/26/2020","1608940800","4"
"12/27/2020","1609027200","2"
"12/28/2020","1609113600","550"
"12/29/2020","1609200000","2692"
"12/30/2020","1609286400","2736"
"12/31/2020","1609372800","2605"
"1/1/2021","1609459200","1851"
"1/2/2021","1609545600","12"
"1/3/2021","1609632000","41"
"1/4/2021","1609718400","20"
"1/5/2021","1609804800","3"
"1/6/2021","1609891200","45"
"1/7/2021","1609977600","42"
"1/8/2021","1610064000","4285"
"1/9/2021","1610150400","296"
"1/10/2021","1610236800","5"
"1/11/2021","1610323200","1639"
"1/12/2021","1610409600","363"
"1/13/2021","1610496000","10"
"1/14/2021","1610582400","18"
"1/15/2021","1610668800","19"
"1/16/2021","1610755200","46"
"1/17/2021","1610841600","17"
"1/18/2021","1610928000","23"
"1/19/2021","1611014400","29"
"1/20/2021","1611100800","24"
"1/21/2021","1611187200","10"
"1/22/2021","1611273600","45"
"1/23/2021","1611360000","46"
"1/24/2021","1611446400","9"
"1/25/2021","1611532800","1024"
"1/26/2021","1611619200","606"
"1/27/2021","1611705600","181"
"1/28/2021","1611792000","214"
"1/29/2021","1611878400","4041"
"1/30/2021","1611964800","258"
"1/31/2021","1612051200","135"
"2/1/2021","1612137600","101"
"2/2/2021","1612224000","382"
"2/3/2021","1612310400","6124"
"2/4/2021","1612396800","4575"
"2/5/2021","1612483200","3315"
"2/6/2021","1612569600","2762"
"2/7/2021","1612656000","2993"
"2/8/2021","1612742400","3363"
"2/9/2021","1612828800","16876"
"2/10/2021","1612915200","28659"
"2/11/2021","1613001600","163"
"2/12/2021","1613088000","9445"
"2/13/2021","1613174400","9720"
"2/14/2021","1613260800","10173"
"2/15/2021","1613347200","18042"
"2/16/2021","1613433600","15526"
"2/17/2021","1613520000","26096"
"2/18/2021","1613606400","28886"
"2/19/2021","1613692800","20767"
"2/20/2021","1613779200","19079"
"2/21/2021","1613865600","16018"
"2/22/2021","1613952000","14960"
"2/23/2021","1614038400","11939"
"2/24/2021","1614124800","14118"
"2/25/2021","1614211200","22710"
"2/26/2021","1614297600","15173"
"2/27/2021","1614384000","15495"
"2/28/2021","1614470400","14112"
"3/1/2021","1614556800","15538"
"3/2/2021","1614643200","15843"
"3/3/2021","1614729600","18554"
"3/4/2021","1614816000","20599"
"3/5/2021","1614902400","11868"
"3/6/2021","1614988800","10271"
"3/7/2021","1615075200","12018"
"3/8/2021","1615161600","13468"
"3/9/2021","1615248000","19387"
"3/10/2021","1615334400","15644"
"3/11/2021","1615420800","14084"
"3/12/2021","1615507200","14484"
"3/13/2021","1615593600","13681"
"3/14/2021","1615680000","14961"
"3/15/2021","1615766400","15213"
"3/16/2021","1615852800","16572"
"3/17/2021","1615939200","15008"
"3/18/2021","1616025600","16045"
"3/19/2021","1616112000","18607"
"3/20/2021","1616198400","19092"
"3/21/2021","1616284800","13455"
"3/22/2021","1616371200","15691"
"3/23/2021","1616457600","15535"
"3/24/2021","1616544000","11644"
"3/25/2021","1616630400","9618"
"3/26/2021","1616716800","9280"
"3/27/2021","1616803200","9698"
"3/28/2021","1616889600","42160"
"3/29/2021","1616976000","21608"
"3/30/2021","1617062400","16650"
"3/31/2021","1617148800","13180"
"4/1/2021","1617235200","27597"
"4/2/2021","1617321600","20352"
"4/3/2021","1617408000","17395"
"4/4/2021","1617494400","15315"
"4/5/2021","1617580800","19176"
"4/6/2021","1617667200","18320"
"4/7/2021","1617753600","16192"
"4/8/2021","1617840000","15267"
"4/9/2021","1617926400","12809"
"4/10/2021","1618012800","11652"
"4/11/2021","1618099200","9133"
"4/12/2021","1618185600","12010"
"4/13/2021","1618272000","10464"
"4/14/2021","1618358400","14408"
"4/15/2021","1618444800","12299"
"4/16/2021","1618531200","9298"
"4/17/2021","1618617600","9684"
"4/18/2021","1618704000","13571"
"4/19/2021","1618790400","14987"
"4/20/2021","1618876800","17848"
"4/21/2021","1618963200","22342"
"4/22/2021","1619049600","18915"
"4/23/2021","1619136000","16685"
"4/24/2021","1619222400","12057"
"4/25/2021","1619308800","12330"
"4/26/2021","1619395200","12917"
"4/27/2021","1619481600","11418"
"4/28/2021","1619568000","18232"
"4/29/2021","1619654400","19208"
"4/30/2021","1619740800","32835"
"5/1/2021","1619827200","39430"
"5/2/2021","1619913600","30443"
"5/3/2021","1620000000","32278"
"5/4/2021","1620086400","29097"
"5/5/2021","1620172800","26499"
"5/6/2021","1620259200","31101"
"5/7/2021","1620345600","32850"
"5/8/2021","1620432000","29149"
"5/9/2021","1620518400","27753"
"5/10/2021","1620604800","28176"
