"Date(UTC)","UnixTimeStamp","Value"
"9/24/2020","1600905600","21000"
"9/25/2020","1600992000","3511500"
"9/26/2020","1601078400","0"
"9/27/2020","1601164800","1795974"
"9/28/2020","1601251200","276676"
"9/29/2020","1601337600","1626227"
"9/30/2020","1601424000","28139201"
"10/1/2020","1601510400","172652124"
"10/2/2020","1601596800","2377205"
"10/3/2020","1601683200","21000"
"10/4/2020","1601769600","692910"
"10/5/2020","1601856000","0"
"10/6/2020","1601942400","638170"
"10/7/2020","1602028800","2245236"
"10/8/2020","1602115200","5346021"
"10/9/2020","1602201600","0"
"10/10/2020","1602288000","0"
"10/11/2020","1602374400","1403975"
"10/12/2020","1602460800","235129"
"10/13/2020","1602547200","13649677"
"10/14/2020","1602633600","623410"
"10/15/2020","1602720000","1760553"
"10/16/2020","1602806400","203459"
"10/17/2020","1602892800","3749511"
"10/18/2020","1602979200","517608"
"10/19/2020","1603065600","756364"
"10/20/2020","1603152000","657894"
"10/21/2020","1603238400","267885"
"10/22/2020","1603324800","94022"
"10/23/2020","1603411200","2600852"
"10/24/2020","1603497600","0"
"10/25/2020","1603584000","0"
"10/26/2020","1603670400","0"
"10/27/2020","1603756800","550160"
"10/28/2020","1603843200","1447082"
"10/29/2020","1603929600","1024480"
"10/30/2020","1604016000","112898"
"10/31/2020","1604102400","0"
"11/1/2020","1604188800","290855"
"11/2/2020","1604275200","1750992"
"11/3/2020","1604361600","1959433"
"11/4/2020","1604448000","331585"
"11/5/2020","1604534400","411385"
"11/6/2020","1604620800","400413"
"11/7/2020","1604707200","0"
"11/8/2020","1604793600","313272"
"11/9/2020","1604880000","5267526"
"11/10/2020","1604966400","1700089"
"11/11/2020","1605052800","929100"
"11/12/2020","1605139200","10360300"
"11/13/2020","1605225600","6315650"
"11/14/2020","1605312000","377625"
"11/15/2020","1605398400","0"
"11/16/2020","1605484800","424790"
"11/17/2020","1605571200","533899"
"11/18/2020","1605657600","45121"
"11/19/2020","1605744000","179010"
"11/20/2020","1605830400","427350"
"11/21/2020","1605916800","0"
"11/22/2020","1606003200","0"
"11/23/2020","1606089600","63777"
"11/24/2020","1606176000","0"
"11/25/2020","1606262400","0"
"11/26/2020","1606348800","3956304"
"11/27/2020","1606435200","0"
"11/28/2020","1606521600","16055403"
"11/29/2020","1606608000","593140"
"11/30/2020","1606694400","0"
"12/1/2020","1606780800","0"
"12/2/2020","1606867200","0"
"12/3/2020","1606953600","0"
"12/4/2020","1607040000","0"
"12/5/2020","1607126400","369282"
"12/6/2020","1607212800","1684400"
"12/7/2020","1607299200","1729747"
"12/8/2020","1607385600","1293509"
"12/9/2020","1607472000","5576834"
"12/10/2020","1607558400","323373"
"12/11/2020","1607644800","1645804"
"12/12/2020","1607731200","0"
"12/13/2020","1607817600","311567"
"12/14/2020","1607904000","131808"
"12/15/2020","1607990400","0"
"12/16/2020","1608076800","1199387"
"12/17/2020","1608163200","43641"
"12/18/2020","1608249600","7216602"
"12/19/2020","1608336000","6077074"
"12/20/2020","1608422400","122974826"
"12/21/2020","1608508800","137676132"
"12/22/2020","1608595200","41490748"
